origin_re,origin_bank_id,origin_id,dest_re,dest_bank_id,dest_id,total_amount,transaction_date
PEER_1,101,5712810430245,PEER_3,301,4259194609585,13127.0,2020-06-17
PEER_1,101,5712810430245,PEER_3,301,4259194609585,13127.0,2020-06-17
PEER_1,101,5712810430245,PEER_3,301,4259194609585,13127.0,2020-06-17
PEER_1,101,1122526378057,PEER_1,101,4721736466350,8205.84,2020-06-17
PEER_1,101,1122526378057,PEER_1,101,4721736466350,8205.84,2020-06-17
PEER_3,301,7993439888364,PEER_1,101,5712810430245,3641.5,2020-06-17
PEER_3,301,7993439888364,PEER_1,101,5712810430245,3641.5,2020-06-17
PEER_3,301,7993439888364,PEER_1,101,5712810430245,3641.5,2020-06-17
PEER_2,201,3421135141770,PEER_1,101,5623440629458,3597.38,2020-06-17
PEER_2,201,3421135141770,PEER_1,101,5623440629458,3597.38,2020-06-17
PEER_2,201,3421135141770,PEER_1,101,5623440629458,3597.38,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6075746232416,3553.55,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6075746232416,3553.55,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6075746232416,3553.55,2020-06-17
PEER_1,101,5712810430245,PEER_3,301,7993439888364,2863.24,2020-06-17
PEER_1,101,5712810430245,PEER_3,301,7993439888364,2863.24,2020-06-17
PEER_1,101,5712810430245,PEER_3,301,7993439888364,2863.24,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,2947468683949,1918.69,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,2947468683949,1918.69,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,2947468683949,1918.69,2020-06-17
PEER_1,101,5623440629458,PEER_2,201,1486577556858,1615.38,2020-06-17
PEER_1,101,5623440629458,PEER_2,201,1486577556858,1615.38,2020-06-17
PEER_1,101,5623440629458,PEER_2,201,1486577556858,1615.38,2020-06-17
PEER_1,101,2305216348360,PEER_1,101,5623440629458,1580.82,2020-06-17
PEER_1,101,2305216348360,PEER_1,101,5623440629458,1580.82,2020-06-17
PEER_4,401,2483535945625,PEER_1,101,4721736466350,1174.67,2020-06-17
PEER_4,401,2483535945625,PEER_1,101,4721736466350,1174.67,2020-06-17
PEER_4,401,2483535945625,PEER_1,101,4721736466350,1174.67,2020-06-17
PEER_2,201,9179611547556,PEER_1,101,5137669896747,1156.25,2020-06-17
PEER_2,201,9179611547556,PEER_1,101,5137669896747,1156.25,2020-06-17
PEER_2,201,9179611547556,PEER_1,101,5137669896747,1156.25,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6075746232416,1147.62,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6075746232416,1147.62,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6075746232416,1147.62,2020-06-17
PEER_1,101,5712810430245,PEER_1,101,2811879687269,1116.49,2020-06-17
PEER_1,101,5712810430245,PEER_1,101,2811879687269,1116.49,2020-06-17
PEER_3,301,8113480228465,PEER_1,101,4985659961249,1088.19,2020-06-17
PEER_3,301,8113480228465,PEER_1,101,4985659961249,1088.19,2020-06-17
PEER_3,301,8113480228465,PEER_1,101,4985659961249,1088.19,2020-06-17
PEER_3,301,8286742756538,PEER_1,101,5623440629458,1038.56,2020-06-17
PEER_3,301,8286742756538,PEER_1,101,5623440629458,1038.56,2020-06-17
PEER_3,301,8286742756538,PEER_1,101,5623440629458,1038.56,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6075746232416,882.29,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6075746232416,882.29,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6075746232416,882.29,2020-06-17
PEER_1,101,4721736466350,PEER_1,101,7431097124561,878.37,2020-06-17
PEER_1,101,4721736466350,PEER_1,101,7431097124561,878.37,2020-06-17
PEER_1,101,5623440629458,PEER_1,101,2305216348360,869.82,2020-06-17
PEER_1,101,5623440629458,PEER_1,101,2305216348360,869.82,2020-06-17
PEER_1,101,5712810430245,PEER_4,401,3439111420887,767.19,2020-06-17
PEER_1,101,5712810430245,PEER_4,401,3439111420887,767.19,2020-06-17
PEER_1,101,5712810430245,PEER_4,401,3439111420887,767.19,2020-06-17
PEER_1,101,4625337818326,PEER_4,401,3356435810394,738.2,2020-06-17
PEER_1,101,4625337818326,PEER_4,401,3356435810394,738.2,2020-06-17
PEER_1,101,4625337818326,PEER_4,401,3356435810394,738.2,2020-06-17
PEER_1,101,5671890114414,PEER_1,101,2341473405284,728.52,2020-06-17
PEER_1,101,5671890114414,PEER_1,101,2341473405284,728.52,2020-06-17
PEER_2,201,3421135141770,PEER_1,101,5623440629458,723.9,2020-06-17
PEER_2,201,3421135141770,PEER_1,101,5623440629458,723.9,2020-06-17
PEER_2,201,3421135141770,PEER_1,101,5623440629458,723.9,2020-06-17
PEER_1,101,4895844804794,PEER_2,201,4999033663403,703.27,2020-06-17
PEER_1,101,4895844804794,PEER_2,201,4999033663403,703.27,2020-06-17
PEER_1,101,4895844804794,PEER_2,201,4999033663403,703.27,2020-06-17
PEER_1,101,2802486614527,PEER_1,101,4625337818326,691.67,2020-06-17
PEER_1,101,2802486614527,PEER_1,101,4625337818326,691.67,2020-06-17
PEER_2,201,3011293497749,PEER_1,101,5496028897470,636.79,2020-06-17
PEER_2,201,3011293497749,PEER_1,101,5496028897470,636.79,2020-06-17
PEER_2,201,3011293497749,PEER_1,101,5496028897470,636.79,2020-06-17
PEER_1,101,5137669896747,PEER_1,101,8259357724091,601.85,2020-06-17
PEER_1,101,5137669896747,PEER_1,101,8259357724091,601.85,2020-06-17
PEER_1,101,5496028897470,PEER_2,201,6527894869925,600.21,2020-06-17
PEER_1,101,5496028897470,PEER_2,201,6527894869925,600.21,2020-06-17
PEER_1,101,5496028897470,PEER_2,201,6527894869925,600.21,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6219560747099,596.31,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6219560747099,596.31,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6219560747099,596.31,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,1754437977945,582.09,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,1754437977945,582.09,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,1754437977945,582.09,2020-06-17
PEER_3,301,2947468683949,PEER_1,101,4437741072063,545.03,2020-06-17
PEER_3,301,2947468683949,PEER_1,101,4437741072063,545.03,2020-06-17
PEER_3,301,2947468683949,PEER_1,101,4437741072063,545.03,2020-06-17
PEER_1,101,5496028897470,PEER_2,201,6527894869925,523.14,2020-06-17
PEER_1,101,5496028897470,PEER_2,201,6527894869925,523.14,2020-06-17
PEER_1,101,5496028897470,PEER_2,201,6527894869925,523.14,2020-06-17
PEER_1,101,2528966800816,PEER_1,101,5623440629458,446.22,2020-06-17
PEER_1,101,2528966800816,PEER_1,101,5623440629458,446.22,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6219560747099,439.17,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6219560747099,439.17,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6219560747099,439.17,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,2947468683949,410.37,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,2947468683949,410.37,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,2947468683949,410.37,2020-06-17
PEER_1,101,5671890114414,PEER_2,201,4999033663403,400.63,2020-06-17
PEER_1,101,5671890114414,PEER_2,201,4999033663403,400.63,2020-06-17
PEER_1,101,5671890114414,PEER_2,201,4999033663403,400.63,2020-06-17
PEER_1,101,5671890114414,PEER_1,101,2341473405284,383.63,2020-06-17
PEER_1,101,5671890114414,PEER_1,101,2341473405284,383.63,2020-06-17
PEER_1,101,5496028897470,PEER_2,201,1749752800609,369.3,2020-06-17
PEER_1,101,5496028897470,PEER_2,201,1749752800609,369.3,2020-06-17
PEER_1,101,5496028897470,PEER_2,201,1749752800609,369.3,2020-06-17
PEER_1,101,4895844804794,PEER_2,201,4999033663403,350.89,2020-06-17
PEER_1,101,4895844804794,PEER_2,201,4999033663403,350.89,2020-06-17
PEER_1,101,4895844804794,PEER_2,201,4999033663403,350.89,2020-06-17
PEER_1,101,4625337818326,PEER_4,401,3007697887117,323.93,2020-06-17
PEER_1,101,4625337818326,PEER_4,401,3007697887117,323.93,2020-06-17
PEER_1,101,4625337818326,PEER_4,401,3007697887117,323.93,2020-06-17
PEER_1,101,3275878238921,PEER_1,101,4437741072063,316.45,2020-06-17
PEER_1,101,3275878238921,PEER_1,101,4437741072063,316.45,2020-06-17
PEER_1,101,4625337818326,PEER_4,401,3356435810394,313.04,2020-06-17
PEER_1,101,4625337818326,PEER_4,401,3356435810394,313.04,2020-06-17
PEER_1,101,4625337818326,PEER_4,401,3356435810394,313.04,2020-06-17
PEER_1,101,5623440629458,PEER_1,101,3275878238921,292.77,2020-06-17
PEER_1,101,5623440629458,PEER_1,101,3275878238921,292.77,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,1662345438063,283.33,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,1662345438063,283.33,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,1662345438063,283.33,2020-06-17
PEER_4,401,2483535945625,PEER_1,101,4721736466350,274.14,2020-06-17
PEER_4,401,2483535945625,PEER_1,101,4721736466350,274.14,2020-06-17
PEER_4,401,2483535945625,PEER_1,101,4721736466350,274.14,2020-06-17
PEER_1,101,4625337818326,PEER_4,401,3007697887117,273.04,2020-06-17
PEER_1,101,4625337818326,PEER_4,401,3007697887117,273.04,2020-06-17
PEER_1,101,4625337818326,PEER_4,401,3007697887117,273.04,2020-06-17
PEER_3,301,1717156690687,PEER_1,101,4985659961249,269.67,2020-06-17
PEER_3,301,1717156690687,PEER_1,101,4985659961249,269.67,2020-06-17
PEER_3,301,1717156690687,PEER_1,101,4985659961249,269.67,2020-06-17
PEER_1,101,5137669896747,PEER_1,101,8259357724091,244.33,2020-06-17
PEER_1,101,5137669896747,PEER_1,101,8259357724091,244.33,2020-06-17
PEER_1,101,7431097124561,PEER_1,101,4721736466350,243.13,2020-06-17
PEER_1,101,7431097124561,PEER_1,101,4721736466350,243.13,2020-06-17
PEER_1,101,4721736466350,PEER_3,301,4196273119005,227.38,2020-06-17
PEER_1,101,4721736466350,PEER_3,301,4196273119005,227.38,2020-06-17
PEER_1,101,4721736466350,PEER_3,301,4196273119005,227.38,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,1754437977945,209.34,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,1754437977945,209.34,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,1754437977945,209.34,2020-06-17
PEER_2,201,4999033663403,PEER_1,101,5671890114414,209.11,2020-06-17
PEER_2,201,4999033663403,PEER_1,101,5671890114414,209.11,2020-06-17
PEER_2,201,4999033663403,PEER_1,101,5671890114414,209.11,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,2947468683949,208.65,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,2947468683949,208.65,2020-06-17
PEER_1,101,4437741072063,PEER_3,301,2947468683949,208.65,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6468350919489,204.67,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6468350919489,204.67,2020-06-17
PEER_1,101,5623440629458,PEER_3,301,6468350919489,204.67,2020-06-17
PEER_1,101,5496028897470,PEER_2,201,1749752800609,201.6,2020-06-17
PEER_1,101,5496028897470,PEER_2,201,1749752800609,201.6,2020-06-17
PEER_1,101,5496028897470,PEER_2,201,1749752800609,201.6,2020-06-17
PEER_1,101,5137669896747,PEER_2,201,2125045965401,199.62,2020-06-17
PEER_1,101,5137669896747,PEER_2,201,2125045965401,199.62,2020-06-17
PEER_1,101,5137669896747,PEER_2,201,2125045965401,199.62,2020-06-17
PEER_2,201,1749752800609,PEER_1,101,5496028897470,193.27,2020-06-17
PEER_2,201,1749752800609,PEER_1,101,5496028897470,193.27,2020-06-17
PEER_2,201,1749752800609,PEER_1,101,5496028897470,193.27,2020-06-17
PEER_4,401,3439111420887,PEER_1,101,5712810430245,186.85,2020-06-17
PEER_4,401,3439111420887,PEER_1,101,5712810430245,186.85,2020-06-17
PEER_4,401,3439111420887,PEER_1,101,5712810430245,186.85,2020-06-17
PEER_1,101,5623440629458,PEER_2,201,4510158471395,169.54,2020-06-17
PEER_1,101,5623440629458,PEER_2,201,4510158471395,169.54,2020-06-17
PEER_1,101,5623440629458,PEER_2,201,4510158471395,169.54,2020-06-17
PEER_2,201,3667579443011,PEER_1,101,4985659961249,161.67,2020-06-17
PEER_2,201,3667579443011,PEER_1,101,4985659961249,161.67,2020-06-17
PEER_2,201,3667579443011,PEER_1,101,4985659961249,161.67,2020-06-17
PEER_1,101,5623440629458,PEER_1,101,4895844804794,159.08,2020-06-17
PEER_1,101,5623440629458,PEER_1,101,4895844804794,159.08,2020-06-17
PEER_3,301,1662345438063,PEER_1,101,5623440629458,134.2,2020-06-17
PEER_3,301,1662345438063,PEER_1,101,5623440629458,134.2,2020-06-17
PEER_3,301,1662345438063,PEER_1,101,5623440629458,134.2,2020-06-17
PEER_1,101,4985659961249,PEER_2,201,3667579443011,133.97,2020-06-17
PEER_1,101,4985659961249,PEER_2,201,3667579443011,133.97,2020-06-17
PEER_1,101,4985659961249,PEER_2,201,3667579443011,133.97,2020-06-17
PEER_2,201,2933337751203,PEER_1,101,5623440629458,126.51,2020-06-17
PEER_2,201,2933337751203,PEER_1,101,5623440629458,126.51,2020-06-17
PEER_2,201,2933337751203,PEER_1,101,5623440629458,126.51,2020-06-17
PEER_4,401,3601920612400,PEER_1,101,5496028897470,124.55,2020-06-17
PEER_4,401,3601920612400,PEER_1,101,5496028897470,124.55,2020-06-17
PEER_4,401,3601920612400,PEER_1,101,5496028897470,124.55,2020-06-17
PEER_1,101,4895844804794,PEER_3,301,6219560747099,121.43,2020-06-17
PEER_1,101,4895844804794,PEER_3,301,6219560747099,121.43,2020-06-17
PEER_1,101,4895844804794,PEER_3,301,6219560747099,121.43,2020-06-17
PEER_1,101,5496028897470,PEER_4,401,3601920612400,119.08,2020-06-17
PEER_1,101,5496028897470,PEER_4,401,3601920612400,119.08,2020-06-17
PEER_1,101,5496028897470,PEER_4,401,3601920612400,119.08,2020-06-17
PEER_1,101,5137669896747,PEER_3,301,4358458591374,114.94,2020-06-17
PEER_1,101,5137669896747,PEER_3,301,4358458591374,114.94,2020-06-17
PEER_1,101,5137669896747,PEER_3,301,4358458591374,114.94,2020-06-17
PEER_3,301,1717156690687,PEER_1,101,4985659961249,112.0,2020-06-17
PEER_3,301,1717156690687,PEER_1,101,4985659961249,112.0,2020-06-17
PEER_3,301,1717156690687,PEER_1,101,4985659961249,112.0,2020-06-17
PEER_2,201,4999033663403,PEER_1,101,4895844804794,98.73,2020-06-17
PEER_2,201,4999033663403,PEER_1,101,4895844804794,98.73,2020-06-17
PEER_2,201,4999033663403,PEER_1,101,4895844804794,98.73,2020-06-17
PEER_1,101,5623440629458,PEER_2,201,3421135141770,96.04,2020-06-17
PEER_1,101,5623440629458,PEER_2,201,3421135141770,96.04,2020-06-17
PEER_1,101,5623440629458,PEER_2,201,3421135141770,96.04,2020-06-17
PEER_2,201,4999033663403,PEER_1,101,5671890114414,95.55,2020-06-17
