origin_iban,dest_iban,origin_re,dest_re,amount,date,origin_is_suspicious,dest_is_suspicious,connection_type
LU951015712810430245,LU873014259194609585,PEER_1,PEER_3,13127.0,2020-06-17,True,False,external
LU771015712810430245,LU663014259194609585,PEER_1,PEER_3,13127.0,2020-06-17,True,False,external
LU311015712810430245,LU873014259194609585,PEER_1,PEER_3,13127.0,2020-06-17,True,False,external
LU121011122526378057,LU281014721736466350,PEER_1,PEER_1,8205.84,2020-06-17,False,True,external
LU171011122526378057,LU581014721736466350,PEER_1,PEER_1,8205.84,2020-06-17,False,True,external
LU133017993439888364,LU781015712810430245,PEER_3,PEER_1,3641.5,2020-06-17,False,True,external
LU403017993439888364,LU371015712810430245,PEER_3,PEER_1,3641.5,2020-06-17,False,True,external
LU473017993439888364,LU101015712810430245,PEER_3,PEER_1,3641.5,2020-06-17,False,True,external
LU122013421135141770,LU381015623440629458,PEER_2,PEER_1,3597.38,2020-06-17,False,True,external
LU932013421135141770,LU481015623440629458,PEER_2,PEER_1,3597.38,2020-06-17,False,True,external
LU852013421135141770,LU301015623440629458,PEER_2,PEER_1,3597.38,2020-06-17,False,True,external
LU211015712810430245,LU763017993439888364,PEER_1,PEER_3,2863.24,2020-06-17,True,False,external
LU731015712810430245,LU813017993439888364,PEER_1,PEER_3,2863.24,2020-06-17,True,False,external
LU591015712810430245,LU373017993439888364,PEER_1,PEER_3,2863.24,2020-06-17,True,False,external
LU491014437741072063,LU493012947468683949,PEER_1,PEER_3,1918.69,2020-06-17,True,False,external
LU491014437741072063,LU973012947468683949,PEER_1,PEER_3,1918.69,2020-06-17,True,False,external
LU221014437741072063,LU773012947468683949,PEER_1,PEER_3,1918.69,2020-06-17,True,False,external
LU551015623440629458,LU652011486577556858,PEER_1,PEER_2,1615.38,2020-06-17,True,False,external
LU101015623440629458,LU192011486577556858,PEER_1,PEER_2,1615.38,2020-06-17,True,False,external
LU531015623440629458,LU142011486577556858,PEER_1,PEER_2,1615.38,2020-06-17,True,False,external
LU271012305216348360,LU941015623440629458,PEER_1,PEER_1,1580.82,2020-06-17,False,True,external
LU171012305216348360,LU181015623440629458,PEER_1,PEER_1,1580.82,2020-06-17,False,True,external
LU484012483535945625,LU851014721736466350,PEER_4,PEER_1,1174.67,2020-06-17,False,True,external
LU694012483535945625,LU101014721736466350,PEER_4,PEER_1,1174.67,2020-06-17,False,True,external
LU614012483535945625,LU321014721736466350,PEER_4,PEER_1,1174.67,2020-06-17,False,True,external
LU302019179611547556,LU951015137669896747,PEER_2,PEER_1,1156.25,2020-06-17,False,True,external
LU942019179611547556,LU791015137669896747,PEER_2,PEER_1,1156.25,2020-06-17,False,True,external
LU122019179611547556,LU531015137669896747,PEER_2,PEER_1,1156.25,2020-06-17,False,True,external
LU251015712810430245,LU541012811879687269,PEER_1,PEER_1,1116.49,2020-06-17,True,False,external
LU991015712810430245,LU931012811879687269,PEER_1,PEER_1,1116.49,2020-06-17,True,False,external
LU453018113480228465,LU191014985659961249,PEER_3,PEER_1,1088.19,2020-06-17,False,True,external
LU293018113480228465,LU231014985659961249,PEER_3,PEER_1,1088.19,2020-06-17,False,True,external
LU873018113480228465,LU301014985659961249,PEER_3,PEER_1,1088.19,2020-06-17,False,True,external
LU583018286742756538,LU371015623440629458,PEER_3,PEER_1,1038.56,2020-06-17,False,True,external
LU653018286742756538,LU581015623440629458,PEER_3,PEER_1,1038.56,2020-06-17,False,True,external
