origin_iban,dest_iban,origin_re,dest_re,amount,date,connection_type
LU681015623440629458,LU613016075746232416,PEER_1,PEER_3,3553.55,2020-06-17,suspicious_to_suspicious
LU861015623440629458,LU983016075746232416,PEER_1,PEER_3,3553.55,2020-06-17,suspicious_to_suspicious
LU891015623440629458,LU223016075746232416,PEER_1,PEER_3,3553.55,2020-06-17,suspicious_to_suspicious
LU951015623440629458,LU193016075746232416,PEER_1,PEER_3,1147.62,2020-06-17,suspicious_to_suspicious
LU191015623440629458,LU473016075746232416,PEER_1,PEER_3,1147.62,2020-06-17,suspicious_to_suspicious
LU491015623440629458,LU113016075746232416,PEER_1,PEER_3,1147.62,2020-06-17,suspicious_to_suspicious
LU601015623440629458,LU483016075746232416,PEER_1,PEER_3,882.29,2020-06-17,suspicious_to_suspicious
LU181015623440629458,LU183016075746232416,PEER_1,PEER_3,882.29,2020-06-17,suspicious_to_suspicious
LU291015623440629458,LU223016075746232416,PEER_1,PEER_3,882.29,2020-06-17,suspicious_to_suspicious
LU591015496028897470,LU202016527894869925,PEER_1,PEER_2,600.21,2020-06-17,suspicious_to_suspicious
LU181015496028897470,LU882016527894869925,PEER_1,PEER_2,600.21,2020-06-17,suspicious_to_suspicious
LU501015496028897470,LU962016527894869925,PEER_1,PEER_2,600.21,2020-06-17,suspicious_to_suspicious
LU221015623440629458,LU123016219560747099,PEER_1,PEER_3,596.31,2020-06-17,suspicious_to_suspicious
LU161015623440629458,LU983016219560747099,PEER_1,PEER_3,596.31,2020-06-17,suspicious_to_suspicious
LU901015623440629458,LU133016219560747099,PEER_1,PEER_3,596.31,2020-06-17,suspicious_to_suspicious
LU841015496028897470,LU132016527894869925,PEER_1,PEER_2,523.14,2020-06-17,suspicious_to_suspicious
LU541015496028897470,LU572016527894869925,PEER_1,PEER_2,523.14,2020-06-17,suspicious_to_suspicious
LU501015496028897470,LU302016527894869925,PEER_1,PEER_2,523.14,2020-06-17,suspicious_to_suspicious
LU421015623440629458,LU703016219560747099,PEER_1,PEER_3,439.17,2020-06-17,suspicious_to_suspicious
LU851015623440629458,LU613016219560747099,PEER_1,PEER_3,439.17,2020-06-17,suspicious_to_suspicious
LU451015623440629458,LU443016219560747099,PEER_1,PEER_3,439.17,2020-06-17,suspicious_to_suspicious
LU941015623440629458,LU921014895844804794,PEER_1,PEER_1,159.08,2020-06-17,suspicious_to_suspicious
LU691015623440629458,LU161014895844804794,PEER_1,PEER_1,159.08,2020-06-17,suspicious_to_suspicious
LU701014895844804794,LU683016219560747099,PEER_1,PEER_3,121.43,2020-06-17,suspicious_to_suspicious
LU671014895844804794,LU263016219560747099,PEER_1,PEER_3,121.43,2020-06-17,suspicious_to_suspicious
LU581014895844804794,LU783016219560747099,PEER_1,PEER_3,121.43,2020-06-17,suspicious_to_suspicious
LU511015623440629458,LU313016219560747099,PEER_1,PEER_3,86.09,2020-06-17,suspicious_to_suspicious
LU531015623440629458,LU843016219560747099,PEER_1,PEER_3,86.09,2020-06-17,suspicious_to_suspicious
LU431015623440629458,LU293016219560747099,PEER_1,PEER_3,86.09,2020-06-17,suspicious_to_suspicious
LU653016219560747099,LU451015623440629458,PEER_3,PEER_1,49.55,2020-06-17,suspicious_to_suspicious
LU893016219560747099,LU241015623440629458,PEER_3,PEER_1,49.55,2020-06-17,suspicious_to_suspicious
LU153016219560747099,LU941015623440629458,PEER_3,PEER_1,49.55,2020-06-17,suspicious_to_suspicious
LU543016219560747099,LU851015623440629458,PEER_3,PEER_1,34.12,2020-06-17,suspicious_to_suspicious
LU153016219560747099,LU751015623440629458,PEER_3,PEER_1,34.12,2020-06-17,suspicious_to_suspicious
LU423016219560747099,LU611015623440629458,PEER_3,PEER_1,34.12,2020-06-17,suspicious_to_suspicious
LU833015707251089856,LU721014625337818326,PEER_3,PEER_1,19.89,2020-06-17,suspicious_to_suspicious
LU423015707251089856,LU201014625337818326,PEER_3,PEER_1,19.89,2020-06-17,suspicious_to_suspicious
LU913015707251089856,LU241014625337818326,PEER_3,PEER_1,19.89,2020-06-17,suspicious_to_suspicious
LU951014895844804794,LU781015623440629458,PEER_1,PEER_1,1410.81,2020-06-16,suspicious_to_suspicious
LU831014895844804794,LU401015623440629458,PEER_1,PEER_1,1410.81,2020-06-16,suspicious_to_suspicious
LU633016219560747099,LU531014895844804794,PEER_3,PEER_1,475.17,2020-06-16,suspicious_to_suspicious
LU463016219560747099,LU301014895844804794,PEER_3,PEER_1,475.17,2020-06-16,suspicious_to_suspicious
LU433016219560747099,LU411014895844804794,PEER_3,PEER_1,475.17,2020-06-16,suspicious_to_suspicious
LU533016219560747099,LU561014895844804794,PEER_3,PEER_1,330.95,2020-06-16,suspicious_to_suspicious
LU223016219560747099,LU161014895844804794,PEER_3,PEER_1,330.95,2020-06-16,suspicious_to_suspicious
LU123016219560747099,LU421014895844804794,PEER_3,PEER_1,330.95,2020-06-16,suspicious_to_suspicious
LU491014895844804794,LU481015623440629458,PEER_1,PEER_1,156.55,2020-06-16,suspicious_to_suspicious
LU701014895844804794,LU601015623440629458,PEER_1,PEER_1,156.55,2020-06-16,suspicious_to_suspicious
LU381015496028897470,LU202016527894869925,PEER_1,PEER_2,107.1,2020-06-16,suspicious_to_suspicious
LU501015496028897470,LU472016527894869925,PEER_1,PEER_2,107.1,2020-06-16,suspicious_to_suspicious
LU961015496028897470,LU982016527894869925,PEER_1,PEER_2,107.1,2020-06-16,suspicious_to_suspicious
LU731015623440629458,LU413016219560747099,PEER_1,PEER_3,89.15,2020-06-16,suspicious_to_suspicious
LU171015623440629458,LU773016219560747099,PEER_1,PEER_3,89.15,2020-06-16,suspicious_to_suspicious
LU921015623440629458,LU713016219560747099,PEER_1,PEER_3,89.15,2020-06-16,suspicious_to_suspicious
