re,account_id,bank_id,account_open_date,account_type,cust_occupation
PEER_3,8286742756538,301,2005-01-07,Trust,Other
PEER_3,2947468683949,301,1977-01-23,Business,Other
PEER_3,5193565287208,301,1999-11-03,Business,Student
PEER_3,1627167951934,301,2001-06-11,Individual,Student
PEER_3,1907016660293,301,1993-12-08,Individual,Professional
PEER_3,9720922929549,301,1979-12-30,Business,Other
PEER_3,5132913425941,301,2015-02-26,Trust,Other
PEER_3,5707251089856,301,1994-10-24,Business,Other
PEER_3,1935566880568,301,2023-06-10,Trust,Professional
PEER_3,4978511888208,301,2001-01-09,Business,Professional
PEER_3,7134410188541,301,2004-12-11,Business,Other
PEER_3,7048349607780,301,1979-07-24,Individual,Other
PEER_3,8287287557708,301,2002-01-08,Individual,Professional
PEER_3,3113475700807,301,2007-05-26,Individual,Professional
PEER_3,1883622499668,301,1987-03-26,Trust,Professional
PEER_3,3962785225046,301,2025-05-26,Individual,Professional
PEER_3,4196273119005,301,1976-05-21,Business,Professional
PEER_3,1717156690687,301,2009-02-02,Individual,Professional
PEER_3,3554632502012,301,2013-12-08,Trust,Other
PEER_3,6090302278678,301,2006-06-30,Trust,Professional
PEER_3,4259194609585,301,2020-06-30,Business,Professional
PEER_3,7273130581466,301,1973-08-18,Individual,Professional
PEER_3,3272977887303,301,2021-07-04,Individual,Other
PEER_3,3591885723370,301,2014-09-13,Business,Student
PEER_3,9768134579479,301,1973-02-26,Trust,Professional
PEER_3,8791973394864,301,1973-06-30,Business,Professional
PEER_3,6058037382297,301,1982-10-27,Individual,Other
PEER_3,5149585932680,301,1971-07-14,Business,Other
PEER_3,8335873298811,301,1978-12-29,Business,Professional
PEER_3,2807787759675,301,2000-04-02,Individual,Professional
PEER_3,2060255908127,301,2006-01-10,Individual,Other
PEER_3,6651207748699,301,1987-08-11,Trust,Other
PEER_3,4235495186351,301,1999-11-02,Business,Student
PEER_3,2632802831611,301,1984-11-14,Individual,Other
PEER_3,4358458591374,301,1983-12-08,Individual,Professional
PEER_3,9513260360776,301,2009-04-03,Business,Professional
PEER_3,5458576311479,301,1985-11-30,Business,Professional
PEER_3,7352451906674,301,2023-05-14,Trust,Professional
