re,account_id,bank_id,account_open_date,account_type,cust_occupation
PEER_2,5760604793679,201,2017-03-25,Individual,Other
PEER_4,1705613954516,401,2000-01-18,Business,Professional
PEER_4,5953390150868,401,1972-06-18,Business,Other
PEER_2,4999033663403,201,1978-04-27,Individual,Other
PEER_2,3810101653626,201,1981-05-16,Individual,Other
PEER_1,1008027069955,101,2008-09-24,Individual,Professional
PEER_3,8286742756538,301,2005-01-07,Trust,Other
PEER_1,7378463412843,101,1987-04-12,Trust,Student
PEER_1,4921644966726,101,1990-11-03,Business,Other
PEER_4,3439111420887,401,2019-07-15,Business,Professional
PEER_1,1550702458544,101,1986-08-09,Business,Professional
PEER_1,6085677591342,101,1992-04-29,Business,Other
PEER_3,2947468683949,301,1977-01-23,Business,Other
PEER_3,5193565287208,301,1999-11-03,Business,Student
PEER_3,1627167951934,301,2001-06-11,Individual,Student
PEER_4,7675587938969,401,1988-12-19,Business,Other
PEER_2,9432909955543,201,1988-11-21,Business,Other
PEER_4,7668765713986,401,1995-12-04,Individual,Other
PEER_4,7026037946364,401,2005-06-10,Individual,Professional
PEER_2,3503828067606,201,1975-12-31,Business,Professional
PEER_3,1907016660293,301,1993-12-08,Individual,Professional
PEER_3,9720922929549,301,1979-12-30,Business,Other
PEER_2,2580196151723,201,1980-02-19,Trust,Other
PEER_1,8259357724091,101,1993-10-08,Business,Other
PEER_4,4360780330593,401,1974-11-05,Individual,Professional
PEER_2,9641792614479,201,2016-12-27,Business,Professional
PEER_4,3567348479488,401,2013-05-17,Individual,Professional
PEER_2,1392047013121,201,1972-11-23,Business,Other
PEER_4,2671372790899,401,2003-01-13,Individual,Other
PEER_3,5132913425941,301,2015-02-26,Trust,Other
PEER_1,6160664015653,101,2010-02-09,Individual,Other
PEER_2,5998393836429,201,1995-02-14,Individual,Professional
PEER_3,5707251089856,301,1994-10-24,Business,Other
PEER_3,1935566880568,301,2023-06-10,Trust,Professional
PEER_4,3007697887117,401,1995-05-17,Business,Other
PEER_1,8822282272546,101,1975-09-25,Business,Professional
PEER_1,2768515467875,101,2008-02-15,Individual,Professional
PEER_4,6788722640011,401,1984-09-08,Business,Student
PEER_4,3109430330660,401,2023-06-26,Business,Other
PEER_3,4978511888208,301,2001-01-09,Business,Professional
PEER_2,7969340918986,201,1984-07-26,Individual,Other
PEER_4,4463490455502,401,2002-09-29,Individual,Professional
PEER_2,4571048979915,201,1980-07-13,Business,Other
PEER_4,6101836055338,401,1987-07-20,Trust,Professional
PEER_1,4891751881002,101,2008-07-04,Trust,Other
PEER_2,3366772091296,201,2016-08-06,Business,Professional
PEER_3,7134410188541,301,2004-12-11,Business,Other
PEER_2,4537718261513,201,1975-05-10,Individual,Student
PEER_4,6277398912897,401,1987-05-19,Business,Other
PEER_1,3843979778550,101,1997-12-23,Business,Other
PEER_3,7048349607780,301,1979-07-24,Individual,Other
PEER_2,3421135141770,201,2010-05-22,Individual,Other
PEER_4,2141776163545,401,1992-06-10,Business,Professional
PEER_3,8287287557708,301,2002-01-08,Individual,Professional
PEER_1,4677824433731,101,2024-12-05,Business,Professional
PEER_2,5134402042684,201,1988-11-30,Individual,Professional
PEER_2,1317035085517,201,1989-05-21,Business,Professional
PEER_3,3113475700807,301,2007-05-26,Individual,Professional
PEER_4,9218472695856,401,2023-01-27,Business,Student
PEER_3,1883622499668,301,1987-03-26,Trust,Professional
PEER_4,7713103442171,401,2006-10-13,Trust,Professional
PEER_2,9313902404394,201,1997-11-05,Individual,Professional
PEER_2,3871558836602,201,2023-02-28,Business,Professional
PEER_2,4510158471395,201,2022-08-27,Individual,Professional
PEER_1,2564146490521,101,1998-03-06,Business,Professional
PEER_1,5623440629458,101,1980-03-18,Business,Other
PEER_4,9724000857682,401,1998-07-22,Individual,Other
PEER_2,8223014240436,201,1996-06-09,Individual,Other
PEER_4,3601920612400,401,1995-05-26,Trust,Professional
PEER_1,2580284783625,101,2003-08-16,Business,Student
PEER_3,3962785225046,301,2025-05-26,Individual,Professional
PEER_3,4196273119005,301,1976-05-21,Business,Professional
PEER_2,2986493604499,201,2017-12-29,Individual,Professional
PEER_4,6639316485792,401,1975-04-01,Individual,Professional
PEER_1,1743274785606,101,1970-06-17,Individual,Other
PEER_3,1717156690687,301,2009-02-02,Individual,Professional
PEER_4,8554139397244,401,1982-12-10,Trust,Professional
PEER_4,7275570474166,401,2011-09-06,Individual,Other
PEER_3,3554632502012,301,2013-12-08,Trust,Other
PEER_4,3749322342307,401,1974-02-09,Individual,Other
PEER_1,2048951506259,101,2015-09-29,Individual,Professional
PEER_3,6090302278678,301,2006-06-30,Trust,Professional
PEER_1,1923887688307,101,2011-06-14,Individual,Other
PEER_4,4357490794436,401,1996-03-01,Individual,Other
PEER_4,9756177985087,401,2015-02-26,Business,Professional
PEER_4,7039782637307,401,2024-10-03,Individual,Professional
PEER_3,4259194609585,301,2020-06-30,Business,Professional
PEER_1,4920214271826,101,1990-03-02,Individual,Other
PEER_1,9372368782859,101,1985-11-11,Individual,Student
PEER_4,1266482024156,401,1988-02-06,Business,Other
PEER_4,1614156815141,401,1988-07-09,Individual,Professional
PEER_4,3137353262622,401,1994-08-12,Individual,Other
PEER_4,2551290556095,401,1973-08-03,Individual,Other
PEER_2,8307488513886,201,2003-10-19,Individual,Other
PEER_3,7273130581466,301,1973-08-18,Individual,Professional
PEER_1,3406493182981,101,2001-10-10,Individual,Professional
PEER_4,2536861770744,401,1972-07-28,Individual,Other
PEER_4,8202542532663,401,2018-06-17,Individual,Professional
PEER_4,3883498403028,401,2025-05-18,Trust,Other
PEER_3,3272977887303,301,2021-07-04,Individual,Other
PEER_3,3591885723370,301,2014-09-13,Business,Student
PEER_3,9768134579479,301,1973-02-26,Trust,Professional
PEER_4,6948766513026,401,1997-06-30,Individual,Professional
PEER_2,1064384040466,201,1982-10-14,Business,Other
PEER_1,7431097124561,101,2002-05-29,Individual,Student
PEER_2,9090344104065,201,1973-12-10,Business,Professional
PEER_1,4773403850644,101,2012-07-12,Business,Professional
PEER_2,3993740057555,201,2022-05-13,Individual,Professional
PEER_1,9723582716306,101,2010-07-21,Individual,Professional
PEER_2,2170410253154,201,1987-02-15,Individual,Student
PEER_2,1749752800609,201,2025-07-08,Individual,Other
PEER_3,8791973394864,301,1973-06-30,Business,Professional
PEER_3,6058037382297,301,1982-10-27,Individual,Other
PEER_1,3275878238921,101,1980-06-09,Trust,Professional
PEER_4,7527644223654,401,1975-02-27,Business,Other
PEER_2,9647438534103,201,1997-02-06,Business,Professional
PEER_1,1578189407433,101,2002-10-04,Business,Other
PEER_2,7901631438331,201,2005-10-01,Individual,Other
PEER_4,8396514655182,401,1970-08-03,Individual,Other
PEER_1,6304274978711,101,1974-02-23,Individual,Other
PEER_4,9458956000117,401,1999-11-27,Business,Professional
PEER_3,5149585932680,301,1971-07-14,Business,Other
PEER_3,8335873298811,301,1978-12-29,Business,Professional
PEER_4,1259292219045,401,1980-09-30,Individual,Student
PEER_3,2807787759675,301,2000-04-02,Individual,Professional
PEER_1,8371712441260,101,2010-07-24,Individual,Professional
PEER_3,2060255908127,301,2006-01-10,Individual,Other
PEER_3,6651207748699,301,1987-08-11,Trust,Other
PEER_3,4235495186351,301,1999-11-02,Business,Student
PEER_2,8298801309360,201,2013-08-27,Individual,Other
PEER_4,3097846673895,401,1983-03-05,Individual,Other
PEER_2,7602460379649,201,1971-09-27,Individual,Other
PEER_4,1211078477207,401,2014-06-27,Business,Other
PEER_4,6829195572146,401,1988-03-06,Business,Professional
PEER_2,3132311610108,201,2000-12-01,Business,Professional
PEER_4,4255485545525,401,1972-07-11,Individual,Professional
PEER_3,2632802831611,301,1984-11-14,Individual,Other
PEER_1,4721736466350,101,2010-12-07,Business,Professional
PEER_4,6575635683687,401,1987-10-20,Individual,Other
PEER_3,4358458591374,301,1983-12-08,Individual,Professional
PEER_2,4533717438849,201,1988-03-03,Business,Professional
PEER_1,7780129598633,101,2010-06-03,Individual,Professional
PEER_3,9513260360776,301,2009-04-03,Business,Professional
PEER_2,8628305043164,201,1975-12-26,Trust,Professional
PEER_3,5458576311479,301,1985-11-30,Business,Professional
PEER_2,7517613907355,201,1998-10-01,Business,Professional
PEER_1,2802486614527,101,2004-09-23,Individual,Professional
PEER_3,7352451906674,301,2023-05-14,Trust,Professional
PEER_3,2452486301813,301,2002-08-22,Business,Other
PEER_3,9482716411136,301,1973-03-19,Individual,Professional
PEER_4,8881371693728,401,2000-05-17,Individual,Student
PEER_2,7806182930423,201,2024-02-09,Business,Other
